,Unnamed: 0,Compound,Material Composition,energy_above_hull (meV/atom),formation_energy (eV/atom),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio
50,50,PrMnO3,Pr8Mn8O24,39.20792319,-2.135514602,0.9095,7.105,6.915725863,0.118706897,-6.897197605,23.35,1.41,620.2,25.0,14.095,34.5,6.4475,10.16,42.98485,-0.1435,0.5,1.505879591,0.729021466,1.513743515
51,51,PrNiO3,Pr8Ni8O24,120.5966152,-1.473595644,0.84,7.835,6.899879773,0.1125,-5.160077265,22.65,1.4,629.85,80.5,13.695,39.0,6.5475,51.6,41.10715,-0.1255,-6.55,1.514575912,0.709922628,0.881139073
52,52,PrScO3,Pr8Sc8O24,23.6410205,-3.088119224,0.9725,4.88,7.69694022,0.09,-5.529671525,29.7,1.545,577.0,34.05,17.9,14.0,6.0,14.15,47.9759,-0.1875,0.0,1.173654211,0.828843106,1.091305774
53,53,PrTiO3,Pr8Ti8O24,32.611025,-2.748544431,0.9025,5.655,7.385342375,0.1825,-6.27452854,26.05,1.485,590.5,35.0,15.72,30.0,6.14,17.2,46.51385,-0.165,-0.55,1.286897006,0.794832827,0.782290687
54,54,PrVO3,Pr8V8O24,0.0,-2.384935304,0.89,6.44,7.119181603,0.1075,-6.856545325,24.15,1.435,586.5,50.0,14.79,31.5,6.1,21.6,44.9831,-0.148,-1.25,1.4024866,0.804615385,0.74463846
55,55,SmFeO3,Sm8Fe8O24,272.8043925,-1.8572662,0.937,5.312,6.843298451,0.17,-6.499431998,22.4,1.395,651.15,37.0,13.525,39.0,6.755,46.75,47.2565,-0.126,-5.05,1.462571837,0.715132359,0.548297568
56,56,SrCoO3,Sr8Co8O24,91.26697472,-1.233199299,0.985,5.72,7.483602171,-0.5625,-4.381601373,33.55,1.535,653.75,-49.0,20.2,33.0,6.7775,51.765,14.3434,-0.0605,-6.45,1.717693825,0.724934037,0.366729172
57,57,SrFeO3,Sr8Fe8O24,86.43036922,-1.503292082,1.037,5.207,7.508866509,-0.66,-4.98414898,33.85,1.54,654.4,-72.0,20.4,31.5,6.7825,41.865,15.8865,-0.0745,-3.1,1.702077562,0.723692875,0.391702432
58,58,SrMnO3,Sr8Mn8O24,90.74875619,-1.625920382,1.0295,4.99,7.489742877,-0.648793103,-5.351689425,34.1,1.54,633.45,-84.0,20.545,30.0,6.565,5.675,16.341,-0.09,2.25,1.713871861,0.765960413,0.623009011
59,59,SrNiO3,Sr8Ni8O24,263.5433714,-0.822993174,0.96,5.72,7.473896788,-0.655,-3.614569085,33.4,1.53,643.1,-28.5,20.145,34.5,6.665,47.115,14.4633,-0.072,-4.8,1.72376932,0.745893851,0.362649007
60,60,SrTiO3,Sr8Ti8O24,8.691789,-2.773721211,1.0225,3.54,7.95935939,-0.585,-4.72902036,36.8,1.615,603.75,-74.0,22.17,25.5,6.2575,12.715,19.87,-0.1115,1.2,1.464643375,0.835106383,0.321966134
61,61,SrVO3,Sr8V8O24,17.84640765,-2.125516334,1.01,4.325,7.693198618,-0.66,-5.311037145,34.9,1.565,599.75,-59.0,21.24,27.0,6.2175,17.115,18.33925,-0.0945,0.5,1.596198218,0.845384615,0.306469666
62,62,YCoO3,Y8Co8O24,48.77586891,-1.862343149,0.8025,6.685,6.775621566,0.18,-6.77249446,22.0,1.39,687.0,35.0,13.25,35.0,7.12,58.6,14.98635,-0.0605,-8.05,1.460588426,0.812664908,1.053576212
63,63,YCrO3,Y8Cr8O24,14.2008055,-2.39807246,0.8125,5.83,6.838362874,0.0725,-7.985158158,22.45,1.4,634.4,32.0,13.515,30.5,6.573,55.45,18.45495,-0.0745,-3.05,1.428050712,0.943627451,1.158468336
64,64,YFeO3,Y8Fe8O24,20.138728,-2.132944682,0.8545,6.172,6.800885904,0.0825,-7.375042068,22.3,1.395,687.65,12.0,13.45,33.5,7.125,48.7,16.52945,-0.0745,-4.7,1.447309614,0.811273541,1.125321888
65,65,YGaO3,Y8Ga8O24,69.473884,-2.319739867,0.8475,5.19,7.320216881,-0.37625,-4.738427539,26.25,1.44,597.4,14.5,15.8,43.0,6.1895,28.9,9.59145,-0.0355,0.0,1.219421576,1.064270905,1.535968132
66,66,YMnO3,Y8Mn8O24,38.80363486,-2.224274232,0.847,5.955,6.781762272,0.093706897,-7.742582513,22.55,1.395,666.7,0.0,13.595,32.0,6.9075,12.51,16.98395,-0.09,0.65,1.457338536,0.858656259,1.789842541
67,67,YNiO3,Y8Ni8O24,87.83887172,-1.623059774,0.7775,6.685,6.765916182,0.0875,-6.005462173,21.85,1.385,676.35,55.5,13.195,36.5,7.0075,53.95,15.10625,-0.072,-6.4,1.465754537,0.83616126,1.041854305
68,68,YScO3,Y8Sc8O24,28.41671038,-3.170600104,0.91,3.73,7.56297663,0.065,-6.375056433,28.9,1.53,623.5,9.05,17.4,11.5,6.46,16.5,21.975,-0.134,0.15,1.135822226,0.976228209,1.290354331
69,69,YTiO3,Y8Ti8O24,38.754046,-2.850257811,0.84,4.505,7.251378785,0.1575,-7.119913448,25.25,1.47,637.0,10.0,15.22,27.5,6.6,19.55,20.51295,-0.1115,-0.4,1.245414713,0.936170213,0.924976482
70,70,YVO3,Y8V8O24,0.0,-2.520681434,0.8275,5.29,6.985218013,0.0825,-7.701930233,23.35,1.42,633.0,25.0,14.29,29.0,6.56,23.95,18.9822,-0.0945,-1.1,1.357278352,0.947692308,0.880456682
